season,constructor_id,Engine Manufacturer,Engine,Displacement,Cylinders,Valves,constructor_country_of_origin
2010,ferrari,Ferrari,Ferrari Tipo 056,2398,8,32,Italy
2010,force_india,Mercedes,Mercedes FO 108X,2398,8,32,India
2010,hrt,Cosworth,Cosworth CA2010,2400,8,32,Spain
2010,lotus_racing,Cosworth,Cosworth CA2010,2400,8,32,Malaysia
2010,mclaren,Mercedes,Mercedes FO 108X,2398,8,32,United Kingdom
2010,mercedes,Mercedes,Mercedes FO 108X,2398,8,32,Germany
2010,red_bull,Renault,Renault RS27-2010,2400,8,32,Austria
2010,renault,Renault,Renault RS27-2010,2400,8,32,France
2010,sauber,Ferrari,Ferrari Tipo 056,2398,8,32,Switzerland
2010,toro_rosso,Ferrari,Ferrari Tipo 056,2398,8,32,Italy
2010,virgin,Cosworth,Cosworth CA2010,2400,8,32,United Kingdom
2010,williams,Cosworth,Cosworth CA2010,2400,8,32,United Kingdom
2011,ferrari,Ferrari,Ferrari Tipo 056,2398,8,32,Italy
2011,force_india,Mercedes,Mercedes FO 108Y,2398,8,32,India
2011,hrt,Cosworth,Cosworth CA2011,2400,8,32,Spain
2011,lotus_racing,Renault,Renault RS27-2011,2400,8,32,Malaysia
2011,mclaren,Mercedes,Mercedes FO 108Y,2398,8,32,United Kingdom
2011,mercedes,Mercedes,Mercedes FO 108Y,2398,8,32,Germany
2011,red_bull,Renault,Renault RS27-2011,2400,8,32,Austria
2011,renault,Renault,Renault RS27-2011,2400,8,32,France
2011,sauber,Ferrari,Ferrari Tipo 056,2398,8,32,Switzerland
2011,toro_rosso,Ferrari,Ferrari Tipo 056,2398,8,32,Italy
2011,virgin,Cosworth,Cosworth CA2011,2400,8,32,United Kingdom
2011,williams,Cosworth,Cosworth CA2011,2400,8,32,United Kingdom
2012,caterham,Renault,Renault RS27-2012,2400,8,32,Malaysia
2012,ferrari,Ferrari,Ferrari Tipo 056,2398,8,32,Italy
2012,force_india,Mercedes,Mercedes FO 108Z,2398,8,32,India
2012,hrt,Cosworth,Cosworth CA2012,2400,8,32,Spain
2012,lotus_f1,Renault,Renault RS27-2012,2400,8,32,United Kingdom
2012,marussia,Cosworth,Cosworth CA2012,2400,8,32,Russia
2012,mclaren,Mercedes,Mercedes FO 108Z,2398,8,32,United Kingdom
2012,mercedes,Mercedes,Mercedes FO 108Z,2398,8,32,Germany
2012,red_bull,Renault,Renault RS27-2012,2400,8,32,Austria
