season,circuit_id,constructor_id,driver_id,Laps,Points,Rank,round,Points Before GP,Finished,grid,constructor_country_of_origin,updated_wins,updated_poles,year_of_birth,height (cm),weight (kg),driver_country_of_origin,updated_driver_wins,updated_driver_poles,Engine Manufacturer,Engine,Displacement,Cylinders,Valves,driver_age,circuit_country,configuration,length (km),number_of_corners,drs_zones,driver_home_race,constructor_home_race,weather_category_Clear,weather_category_Cloudy,weather_category_Rainy,weather_category_Warm,weather_category_Windy,salary
2010,bahrain,ferrari,alonso,49,25.0,1,1,0.0,1,3,Italy,211,203,1981,171,68,Spain,22,18,Ferrari,Ferrari Tipo 056,2398,8,32,29,Bahrain,Race,5.412,15,3,0,0,1,0,0,0,0,40000000.0
2010,bahrain,ferrari,massa,49,18.0,2,1,0.0,1,2,Italy,211,203,1981,166,59,Brazil,11,15,Ferrari,Ferrari Tipo 056,2398,8,32,29,Bahrain,Race,5.412,15,3,0,0,1,0,0,0,0,18620000.0
2010,bahrain,mclaren,hamilton,49,15.0,3,1,0.0,1,4,United Kingdom,164,145,1985,175,66,United Kingdom,11,17,Mercedes,Mercedes FO 108X,2398,8,32,25,Bahrain,Race,5.412,15,3,0,0,1,0,0,0,0,21280000.0
2010,bahrain,red_bull,vettel,49,12.0,4,1,0.0,1,1,Austria,6,6,1987,176,58,Germany,5,6,Renault,Renault RS27-2010,2400,8,32,23,Bahrain,Race,5.412,15,3,0,0,1,0,0,0,0,4700000.0
2010,bahrain,mercedes,rosberg,49,10.0,5,1,0.0,1,5,Germany,9,8,1985,178,71,Germany,0,0,Mercedes,Mercedes FO 108X,2398,8,32,25,Bahrain,Race,5.412,15,3,0,0,1,0,0,0,0,10640000.0
2010,bahrain,mercedes,michael_schumacher,49,8.0,6,1,0.0,1,7,Germany,9,8,1969,174,75,Germany,91,68,Mercedes,Mercedes FO 108X,2398,8,32,41,Bahrain,Race,5.412,15,3,0,0,1,0,0,0,0,10640000.0
2010,bahrain,mclaren,button,49,6.0,7,1,0.0,1,8,United Kingdom,164,145,1980,182,72,United Kingdom,7,7,Mercedes,Mercedes FO 108X,2398,8,32,30,Bahrain,Race,5.412,15,3,0,0,1,0,0,0,0,12000000.0
2010,bahrain,red_bull,webber,49,4.0,8,1,0.0,1,6,Austria,6,6,1976,185,75,Australia,2,1,Renault,Renault RS27-2010,2400,8,32,34,Bahrain,Race,5.412,15,3,0,0,1,0,0,0,0,5586000.0
2010,bahrain,force_india,liuzzi,49,2.0,9,1,0.0,1,12,India,0,1,1980,169,68,Italy,0,0,Mercedes,Mercedes FO 108X,2398,8,32,30,Bahrain,Race,5.412,15,3,0,0,1,0,0,0,0,266000.0
2010,bahrain,williams,barrichello,49,1.0,10,1,0.0,1,11,United Kingdom,113,125,1972,172,77,Brazil,11,14,Cosworth,Cosworth CA2010,2400,8,32,38,Bahrain,Race,5.412,15,3,0,0,1,0,0,0,0,7315000.0
2010,bahrain,renault,kubica,49,0.0,11,1,0.0,1,9,France,35,51,1984,183,72,Poland,1,1,Renault,Renault RS27-2010,2400,8,32,26,Bahrain,Race,5.412,15,3,0,0,1,0,0,0,0,10000000.0
2010,bahrain,force_india,sutil,49,0.0,12,1,0.0,1,10,India,0,1,1983,183,75,Germany,0,0,Mercedes,Mercedes FO 108X,2398,8,32,27,Bahrain,Race,5.412,15,3,0,0,1,0,0,0,0,266000.0
2010,bahrain,toro_rosso,alguersuari,49,0.0,13,1,0.0,1,18,Italy,1,1,1990,181,65,Spain,0,0,Ferrari,Ferrari Tipo 056,2398,8,32,20,Bahrain,Race,5.412,15,3,0,0,1,0,0,0,0,532000.0
2010,bahrain,williams,hulkenberg,48,0.0,14,1,0.0,1,13,United Kingdom,113,125,1987,184,70,Germany,0,0,Cosworth,Cosworth CA2010,2400,8,32,23,Bahrain,Race,5.412,15,3,0,0,1,0,0,0,0,931000.0
2010,bahrain,lotus_racing,kovalainen,47,0.0,15,1,0.0,1,21,Malaysia,0,0,1981,172,66,Finland,1,1,Cosworth,Cosworth CA2010,2400,8,32,29,Bahrain,Race,5.412,15,3,0,0,1,0,0,0,0,2660000.0
2010,bahrain,toro_rosso,buemi,46,0.0,16,1,0.0,1,15,Italy,1,1,1988,172,55,Switzerland,0,0,Ferrari,Ferrari Tipo 056,2398,8,32,22,Bahrain,Race,5.412,15,3,0,0,1,0,0,0,0,532000.0
2010,bahrain,lotus_racing,trulli,46,0.0,17,1,0.0,0,20,Malaysia,0,0,1974,173,60,Italy,1,4,Cosworth,Cosworth CA2010,2400,8,32,36,Bahrain,Race,5.412,15,3,0,0,1,0,0,0,0,3990000.0
2010,bahrain,hrt,bruno_senna,17,0.0,18,1,0.0,0,21,Spain,0,0,1983,180,69,Brazil,0,0,Cosworth,Cosworth CA2010,2400,8,32,27,Bahrain,Race,5.412,15,3,0,0,1,0,0,0,0,199500.0
2010,bahrain,virgin,glock,16,0.0,20,1,0.0,0,19,United Kingdom,0,0,1982,169,64,Germany,0,0,Cosworth,Cosworth CA2010,2400,8,32,28,Bahrain,Race,5.412,15,3,0,0,1,0,0,0,0,1330000.0
2010,bahrain,virgin,grassi,2,0.0,21,1,0.0,0,22,United Kingdom,0,0,1984,179,73,Brazil,0,0,Cosworth,Cosworth CA2010,2400,8,32,26,Bahrain,Race,5.412,15,3,0,0,1,0,0,0,0,266000.0
