Season,circuit_id,constructor_id,driver_id,Laps,Race time,Points,Rank
2010,bahrain,ferrari,alonso,49.0,1:39:20.396,25.0,1
2010,bahrain,ferrari,massa,49.0,+16.099s,18.0,2
2010,bahrain,mclaren,hamilton,49.0,+23.182s,15.0,3
2010,bahrain,renault,vettel,49.0,+38.799s,12.0,4
2010,bahrain,mercedes,rosberg,49.0,+40.213s,10.0,5
2010,bahrain,mercedes,michael_schumacher,49.0,+44.163s,8.0,6
2010,bahrain,mclaren,button,49.0,+45.280s,6.0,7
2010,bahrain,renault,webber,49.0,+46.360s,4.0,8
2010,bahrain,force_india,liuzzi,49.0,+53.008s,2.0,9
2010,bahrain,williams,barrichello,49.0,+62.489s,1.0,10
2010,bahrain,renault,kubica,49.0,+69.093s,0.0,11
2010,bahrain,force_india,sutil,49.0,+82.958s,0.0,12
2010,bahrain,toro_rosso,alguersuari,49.0,+92.656s,0.0,13
2010,bahrain,williams,hulkenberg,48.0,+1 lap,0.0,14
2010,bahrain,lotus_racing,kovalainen,47.0,+2 laps,0.0,15
2010,bahrain,toro_rosso,buemi,46.0,+3 laps,0.0,16
2010,bahrain,lotus_racing,trulli,46.0,DNF,0.0,17
2010,bahrain,sauber,rosa,28.0,DNF,0.0,NC
2010,bahrain,hrt,bruno_senna,17.0,DNF,0.0,NC
2010,bahrain,virgin,glock,16.0,DNF,0.0,NC
2010,bahrain,renault,petrov,13.0,DNF,0.0,NC
2010,bahrain,sauber,kobayashi,11.0,DNF,0.0,NC
2010,bahrain,virgin,grassi,2.0,DNF,0.0,NC
2010,bahrain,hrt,chandhok,1.0,DNF,0.0,NC
2010,albert_park,mclaren,button,58.0,1:33:36.531,25.0,1
2010,albert_park,renault,kubica,58.0,+12.034s,18.0,2
2010,albert_park,ferrari,massa,58.0,+14.488s,15.0,3
2010,albert_park,ferrari,alonso,58.0,+16.304s,12.0,4
2010,albert_park,mercedes,rosberg,58.0,+16.683s,10.0,5
2010,albert_park,mclaren,hamilton,58.0,+29.898s,8.0,6
2010,albert_park,force_india,liuzzi,58.0,+59.847s,6.0,7
2010,albert_park,williams,barrichello,58.0,+60.536s,4.0,8
2010,albert_park,renault,webber,58.0,+67.319s,2.0,9
2010,albert_park,mercedes,michael_schumacher,58.0,+69.391s,1.0,10
2010,albert_park,toro_rosso,alguersuari,58.0,+71.301s,0.0,11
2010,albert_park,sauber,rosa,58.0,+74.084s,0.0,12
2010,albert_park,lotus_racing,kovalainen,56.0,+2 laps,0.0,13
2010,albert_park,hrt,chandhok,53.0,+5 laps,0.0,14
2010,albert_park,virgin,glock,41.0,DNF,0.0,NC
2010,albert_park,virgin,grassi,26.0,DNF,0.0,NC
2010,albert_park,renault,vettel,25.0,DNF,0.0,NC
2010,albert_park,force_india,sutil,9.0,DNF,0.0,NC
2010,albert_park,renault,petrov,9.0,DNF,0.0,NC
2010,albert_park,hrt,bruno_senna,4.0,DNF,0.0,NC
2010,albert_park,toro_rosso,buemi,0.0,DNF,0.0,NC
2010,albert_park,williams,hulkenberg,0.0,DNF,0.0,NC
2010,albert_park,sauber,kobayashi,0.0,DNF,0.0,NC
2010,albert_park,lotus_racing,trulli,,DNS,0.0,NC
2010,sepang,renault,vettel,56.0,1:33:48.412,25.0,1
2010,sepang,renault,webber,56.0,+4.849s,18.0,2
2010,sepang,mercedes,rosberg,56.0,+13.504s,15.0,3
2010,sepang,renault,kubica,56.0,+18.589s,12.0,4
2010,sepang,force_india,sutil,56.0,+21.059s,10.0,5
2010,sepang,mclaren,hamilton,56.0,+23.471s,8.0,6
2010,sepang,ferrari,massa,56.0,+27.068s,6.0,7
2010,sepang,mclaren,button,56.0,+37.918s,4.0,8
2010,sepang,toro_rosso,alguersuari,56.0,+70.602s,2.0,9
2010,sepang,williams,hulkenberg,56.0,+73.399s,1.0,10
2010,sepang,toro_rosso,buemi,56.0,+78.938s,0.0,11
2010,sepang,williams,barrichello,55.0,+1 lap,0.0,12
2010,sepang,ferrari,alonso,54.0,DNF,0.0,13
2010,sepang,virgin,grassi,53.0,+3 laps,0.0,14
2010,sepang,hrt,chandhok,53.0,+3 laps,0.0,15
2010,sepang,hrt,bruno_senna,52.0,+4 laps,0.0,16
2010,sepang,lotus_racing,trulli,51.0,+5 laps,0.0,17
2010,sepang,lotus_racing,kovalainen,46.0,+10 laps,0.0,NC
2010,sepang,renault,petrov,32.0,DNF,0.0,NC
2010,sepang,force_india,liuzzi,12.0,DNF,0.0,NC
2010,sepang,mercedes,michael_schumacher,9.0,DNF,0.0,NC
2010,sepang,sauber,kobayashi,8.0,DNF,0.0,NC
2010,sepang,virgin,glock,2.0,DNF,0.0,NC
2010,sepang,sauber,rosa,,DNS,0.0,NC
2010,shanghai,mclaren,button,56.0,1:46:42.163,25.0,1
2010,shanghai,mclaren,hamilton,56.0,+1.530s,18.0,2
2010,shanghai,mercedes,rosberg,56.0,+9.484s,15.0,3
2010,shanghai,ferrari,alonso,56.0,+11.869s,12.0,4
2010,shanghai,renault,kubica,56.0,+22.213s,10.0,5
2010,shanghai,renault,vettel,56.0,+33.310s,8.0,6
2010,shanghai,renault,petrov,56.0,+47.600s,6.0,7
2010,shanghai,renault,webber,56.0,+52.172s,4.0,8
2010,shanghai,ferrari,massa,56.0,+57.796s,2.0,9
2010,shanghai,mercedes,michael_schumacher,56.0,+61.749s,1.0,10
2010,shanghai,force_india,sutil,56.0,+62.874s,0.0,11
2010,shanghai,williams,barrichello,56.0,+63.665s,0.0,12
2010,shanghai,toro_rosso,alguersuari,56.0,+71.416s,0.0,13
2010,shanghai,lotus_racing,kovalainen,55.0,+1 lap,0.0,14
2010,shanghai,williams,hulkenberg,55.0,+1 lap,0.0,15
2010,shanghai,hrt,bruno_senna,54.0,+2 laps,0.0,16
2010,shanghai,hrt,chandhok,52.0,+4 laps,0.0,17
2010,shanghai,lotus_racing,trulli,26.0,DNF,0.0,NC
2010,shanghai,virgin,grassi,8.0,DNF,0.0,NC
2010,shanghai,sauber,rosa,7.0,DNF,0.0,NC
2010,shanghai,toro_rosso,buemi,0.0,DNF,0.0,NC
2010,shanghai,sauber,kobayashi,0.0,DNF,0.0,NC
2010,shanghai,force_india,liuzzi,0.0,DNF,0.0,NC
2010,shanghai,virgin,glock,,DNS,0.0,NC
2010,catalunya,renault,webber,66.0,1:35:44.101,25.0,1
2010,catalunya,ferrari,alonso,66.0,+24.065s,18.0,2
2010,catalunya,renault,vettel,66.0,+51.338s,15.0,3
2010,catalunya,mercedes,michael_schumacher,66.0,+62.195s,12.0,4
2010,catalunya,mclaren,button,66.0,+63.728s,10.0,5
2010,catalunya,ferrari,massa,66.0,+65.767s,8.0,6
2010,catalunya,force_india,sutil,66.0,+72.941s,6.0,7
2010,catalunya,renault,kubica,66.0,+73.677s,4.0,8
2010,catalunya,williams,barrichello,65.0,+1 lap,2.0,9
2010,catalunya,toro_rosso,alguersuari,65.0,+1 lap,1.0,10
2010,catalunya,renault,petrov,65.0,+1 lap,0.0,11
2010,catalunya,sauber,kobayashi,65.0,+1 lap,0.0,12
2010,catalunya,mercedes,rosberg,65.0,+1 lap,0.0,13
2010,catalunya,mclaren,hamilton,64.0,DNF,0.0,14
2010,catalunya,force_india,liuzzi,64.0,DNF,0.0,15
2010,catalunya,williams,hulkenberg,64.0,+2 laps,0.0,16
2010,catalunya,lotus_racing,trulli,63.0,+3 laps,0.0,17
2010,catalunya,virgin,glock,63.0,+3 laps,0.0,18
2010,catalunya,virgin,grassi,62.0,+4 laps,0.0,19
