season,driver_id,salary
2010,alguersuari,532000.0
2010,alonso,40000000.0
2010,barrichello,7315000.0
2010,bruno_senna,199500.0
2010,buemi,532000.0
2010,button,12000000.0
2010,chandhok,None
2010,glock,1330000.0
2010,grassi,266000.0
2010,hamilton,21280000.0
2010,hulkenberg,931000.0
2010,klien,None
2010,kobayashi,665000.0
2010,kovalainen,2660000.0
2010,kubica,10000000.0
2010,liuzzi,266000.0
2010,massa,18620000.0
2010,michael_schumacher,10640000.0
2010,petrov,532000.0
2010,raikkonen,21280000.0
2010,rosa,665000.0
2010,rosberg,10640000.0
2010,sutil,266000.0
2010,trulli,3990000.0
2010,vettel,4700000.0
2010,webber,5586000.0
2010,yamamoto,None
2011,alguersuari,556000.0
2011,alonso,41700000.0
2011,ambrosio,278000.0
2011,barrichello,3058000.0
2011,buemi,556000.0
2011,button,13900000.0
2011,chandhok,None
2011,glock,2780000.0
2011,hamilton,13900000.0
2011,heidfeld,2780000.0
2011,karthikeyan,347500.0
2011,kobayashi,1390000.0
2011,kovalainen,4170000.0
2011,liuzzi,278000.0
2011,maldonado,278000.0
2011,massa,12800000.0
2011,michael_schumacher,11120000.0
2011,perez,278000.0
2011,petrov,695000.0
2011,resta,278000.0
2011,rosberg,11120000.0
2011,sutil,1390000.0
2011,trulli,1390000.0
2011,vettel,11120000.0
2011,webber,11120000.0
2012,alonso,38400000.0
2012,bruno_senna,320000.0
2012,button,20500000.0
2012,glock,3840000.0
2012,grosjean,1280000.0
2012,hamilton,20480000.0
2012,hulkenberg,640000.0
2012,karthikeyan,320000.0
2012,kobayashi,1280000.0
2012,kovalainen,5120000.0
2012,maldonado,512000.0
2012,massa,13900000.0
2012,michael_schumacher,10240000.0
2012,perez,640000.0
2012,petrov,640000.0
2012,pic,192000.0
2012,raikkonen,6400000.0
2012,resta,256000.0
2012,ricciardo,512000.0
2012,rosa,640000.0
2012,rosberg,12800000.0
2012,vergne,512000.0
2012,vettel,12800000.0
2012,webber,12800000.0
2013,alonso,26600000.0
2013,bottas,798000.0
2013,bottas,798000.0
2013,button,21300000.0
2013,chilton,199500.0
2013,garde,199500.0
2013,grosjean,1330000.0
